升力系数,阻力系数,有无尾支撑
-0.031470658,0.020208545,yes
0.010923004,0.019454121,yes
0.057315097,0.022191086,yes
0.108008867,0.02901692,yes
0.160669228,0.040177617,yes
0.216387002,0.056056577,yes
-0.026822294,0.018883721,yes
0.009383319,0.018884215,yes
0.048489333,0.022002515,yes
0.090612471,0.02851709,yes
0.136753609,0.038772052,yes
0.18668579,0.053236816,yes
-0.030042967,0.019670836,no
0.011868583,0.018967301,no
0.057732807,0.021677597,no
0.107119128,0.028366623,no
0.158824474,0.039185211,no
0.213491363,0.054103186,no
-0.025722724,0.018536751,no
0.009694902,0.018529406,no
0.047717427,0.02151492,no
0.088094378,0.027834364,no
0.132619815,0.03761777,no
0.181180015,0.051642958,no
